nse_ticker,etf_proxy,target_pct,sentiment,multiplier,xgb_signal,xgb_ic,action
RELIANCE,XLE,0.0,neutral,0.7,NEUTRAL,-0.0038,SKIP_FLAT
HDFCBANK,XLF,0.0,neutral,0.7,NEUTRAL,0.0107,SKIP_FLAT
ICICIBANK,XLF,0.0,neutral,0.7,NEUTRAL,0.0167,SKIP_FLAT
INFY,QQQ,0.0,neutral,0.7,NEUTRAL,-0.022,SKIP_FLAT
TCS,QQQ,0.0,neutral,0.7,LONG_BIAS,0.0574,SKIP_FLAT
AXISBANK,XLF,0.0,neutral,0.7,NEUTRAL,-0.0013,SKIP_FLAT
BAJFINANCE,XLF,0.0,neutral,0.7,LONG_BIAS,-0.0077,SKIP_FLAT
DRREDDY,XLV,0.0,neutral,0.7,LONG_BIAS,0.0631,SKIP_FLAT
HINDUNILVR,XLP,0.0,neutral,0.7,SHORT_BIAS,0.1023,SKIP_FLAT
ITC,XLP,0.0,neutral,0.7,SHORT_BIAS,0.0343,SKIP_FLAT
MARUTI,XLY,0.0,neutral,0.7,NEUTRAL,-0.0345,SKIP_FLAT
ONGC,XLE,0.0,neutral,0.7,NEUTRAL,-0.0994,SKIP_FLAT
SUNPHARMA,XLV,3.254,neutral,0.7,NEUTRAL,-0.0077,LONG
WIPRO,QQQ,0.0,neutral,0.7,NEUTRAL,0.0153,SKIP_FLAT
