nse_ticker,etf_proxy,target_pct,sentiment,multiplier,xgb_signal,xgb_ic,action,status,order_id,delta_qty,final_qty
RELIANCE,XLE,0.0,neutral,0.7,NEUTRAL,-0.0038,SKIP_FLAT,FLAT_HOLD,N/A,0,0
HDFCBANK,XLF,0.0,neutral,0.7,NEUTRAL,0.0107,SKIP_FLAT,FLAT_HOLD,N/A,0,0
ICICIBANK,XLF,0.0,neutral,0.7,NEUTRAL,0.0167,SKIP_FLAT,FLAT_HOLD,N/A,0,0
INFY,QQQ,0.0,neutral,0.7,NEUTRAL,-0.022,SKIP_FLAT,FLAT_HOLD,N/A,0,0
TCS,QQQ,0.0,neutral,0.7,LONG_BIAS,0.0574,SKIP_FLAT,FLAT_HOLD,N/A,0,0
AXISBANK,XLF,0.0,neutral,0.7,NEUTRAL,-0.0013,SKIP_FLAT,FLAT_HOLD,N/A,0,0
BAJFINANCE,XLF,0.0,neutral,0.7,LONG_BIAS,-0.0077,SKIP_FLAT,FLAT_HOLD,N/A,0,0
DRREDDY,XLV,0.0,neutral,0.7,LONG_BIAS,0.0631,SKIP_FLAT,ERROR: client_order_id must be unique,N/A,-21,21
HINDUNILVR,XLP,0.0,neutral,0.7,SHORT_BIAS,0.1023,SKIP_FLAT,FLAT_HOLD,N/A,0,0
ITC,XLP,0.0,neutral,0.7,SHORT_BIAS,0.0343,SKIP_FLAT,FLAT_HOLD,N/A,0,0
MARUTI,XLY,0.0,neutral,0.7,NEUTRAL,-0.0345,SKIP_FLAT,FLAT_HOLD,N/A,0,0
ONGC,XLE,0.0,neutral,0.7,NEUTRAL,-0.0994,SKIP_FLAT,FLAT_HOLD,N/A,0,0
SUNPHARMA,XLV,3.254,neutral,0.7,NEUTRAL,-0.0077,LONG,HOLD,N/A,1,21
WIPRO,QQQ,0.0,neutral,0.7,NEUTRAL,0.0153,SKIP_FLAT,FLAT_HOLD,N/A,0,0
