stock_a,stock_b,sector_a,sector_b,same_sector,mechanism,r,trace_stat,trace_crit_95,maxeig_stat,maxeig_crit_95,beta_a,beta_b,alpha_a,alpha_b,halflife_days,spread_mean,spread_std,raw_cointegrated,raw_trace_stat,resid_cointegrated,resid_trace_stat,cointegrated
INFY,ONGC,IT,Energy,False,cross-sector — no economic anchor,2,36.836,15.4943,25.7263,14.2639,1.0,1.0345,-0.0086,-0.0209,32.1,204.3603,8.1624,False,8.4223,True,36.836,False
ICICIBANK,TCS,Financials,IT,False,cross-sector — no economic anchor,2,33.3343,15.4943,25.5443,14.2639,1.0,-3.9826,-0.0093,-0.001,41.1,-302.4408,27.9702,False,15.0615,True,33.3343,False
TCS,ONGC,IT,Energy,False,cross-sector — no economic anchor,2,32.5413,15.4943,17.8098,14.2639,1.0,1190.7811,-0.0114,0.0079,43.4,121508.9361,9378.07,False,14.7038,True,32.5413,False
HDFCBANK,WIPRO,Financials,IT,False,cross-sector — no economic anchor,2,28.7503,15.4943,23.9317,14.2639,1.0,-0.3446,-0.0118,-0.0105,79.8,73.5037,12.027,False,11.3845,True,28.7503,False
AXISBANK,WIPRO,Financials,IT,False,cross-sector — no economic anchor,2,26.1404,15.4943,21.8977,14.2639,1.0,0.184,-0.0068,-0.0253,58.9,121.6728,6.9752,False,6.7168,True,26.1404,False
TCS,ITC,IT,FMCG,False,cross-sector — no economic anchor,2,25.5383,15.4943,18.9691,14.2639,1.0,0.5077,-0.0135,-0.0124,36.0,148.4376,7.8032,False,9.2186,True,25.5383,False
HINDUNILVR,ONGC,FMCG,Energy,False,cross-sector — no economic anchor,2,24.0063,15.4943,16.8523,14.2639,1.0,2.0886,-0.0082,-0.0053,38.6,303.6948,16.4565,False,9.5353,True,24.0063,False
INFY,HINDUNILVR,IT,FMCG,False,cross-sector — no economic anchor,2,23.0688,15.4943,17.1284,14.2639,1.0,-0.5386,-0.0139,0.0109,34.3,50.0079,5.4563,False,10.6617,True,23.0688,False
ONGC,SUNPHARMA,Energy,Pharma,False,cross-sector — no economic anchor,2,22.3303,15.4943,18.2935,14.2639,1.0,-0.2842,-0.0197,0.0031,31.1,63.2503,7.1611,False,4.9671,True,22.3303,False
ICICIBANK,ITC,Financials,FMCG,False,cross-sector — no economic anchor,1,22.1111,15.4943,19.0008,14.2639,1.0,1.7263,-0.0055,-0.009,32.0,264.0455,14.1139,False,8.7841,True,22.1111,False
ICICIBANK,WIPRO,Financials,IT,False,cross-sector — no economic anchor,2,21.6887,15.4943,15.706,14.2639,1.0,-0.2962,-0.003,0.0087,138.7,83.1075,16.6966,False,11.2044,True,21.6887,False
AXISBANK,ONGC,Financials,Energy,False,cross-sector — no economic anchor,2,20.8793,15.4943,14.4782,14.2639,1.0,-3.1648,-0.0081,0.0005,41.2,-223.82,24.5435,False,11.4585,True,20.8793,False
ITC,ONGC,FMCG,Energy,False,cross-sector — no economic anchor,0,20.4119,15.4943,14.2636,14.2639,,,,,,,,False,13.3054,False,20.4119,False
INFY,TCS,IT,IT,True,shared USD/INR & global tech-spend exposure,0,20.3129,15.4943,11.3005,14.2639,,,,,,,,False,16.1028,False,20.3129,False
RELIANCE,ITC,Energy,FMCG,False,cross-sector — no economic anchor,1,20.1789,15.4943,17.0268,14.2639,1.0,-1.1767,-0.0029,0.0138,33.7,-8.6189,9.1118,True,17.3906,True,20.1789,False
AXISBANK,BAJFINANCE,Financials,Financials,True,"shared rate cycle, credit growth & deposit dynamics",0,20.0609,15.4943,13.0552,14.2639,,,,,,,,False,7.8867,False,20.0609,False
HDFCBANK,TCS,Financials,IT,False,cross-sector — no economic anchor,0,19.5328,15.4943,13.3363,14.2639,,,,,,,,False,13.0161,False,19.5328,False
ITC,MARUTI,FMCG,Auto,False,cross-sector — no economic anchor,1,19.1484,15.4943,15.7328,14.2639,1.0,0.313,-0.0139,0.0068,56.5,122.9637,9.108,False,9.5652,True,19.1484,False
BAJFINANCE,ONGC,Financials,Energy,False,cross-sector — no economic anchor,1,19.0923,15.4943,15.3325,14.2639,1.0,-5.7882,-0.0,0.003,36.7,-462.5152,42.356,False,4.1875,True,19.0923,False
