date,stock_a,stock_b,spread,z_score,beta_b,alpha_a,alpha_b,size_a_pct,size_b_pct,signal,pos_a,pos_b
2019-01-02,BAJFINANCE,HDFCBANK,386.14928435135914,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-03,BAJFINANCE,HDFCBANK,382.8433215038418,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-04,BAJFINANCE,HDFCBANK,383.22511559051054,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-07,BAJFINANCE,HDFCBANK,382.81272109959946,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-08,BAJFINANCE,HDFCBANK,379.8036705073551,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-09,BAJFINANCE,HDFCBANK,381.19135509968953,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-10,BAJFINANCE,HDFCBANK,379.7041171871287,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-11,BAJFINANCE,HDFCBANK,380.1468697520213,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-14,BAJFINANCE,HDFCBANK,379.91285225150386,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-15,BAJFINANCE,HDFCBANK,384.88622197684003,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-16,BAJFINANCE,HDFCBANK,383.36353930145475,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-17,BAJFINANCE,HDFCBANK,383.7216183007863,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-18,BAJFINANCE,HDFCBANK,383.70787766017526,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-21,BAJFINANCE,HDFCBANK,388.05870142973134,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-22,BAJFINANCE,HDFCBANK,387.4383859009152,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-23,BAJFINANCE,HDFCBANK,383.79036178998376,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-24,BAJFINANCE,HDFCBANK,383.41342182926087,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-25,BAJFINANCE,HDFCBANK,381.2097219918885,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-28,BAJFINANCE,HDFCBANK,374.2987669203779,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-29,BAJFINANCE,HDFCBANK,372.8566375989293,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-30,BAJFINANCE,HDFCBANK,372.7698820687923,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-01-31,BAJFINANCE,HDFCBANK,378.11017319871036,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-01,BAJFINANCE,HDFCBANK,381.5452347041597,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-04,BAJFINANCE,HDFCBANK,382.2209830821871,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-05,BAJFINANCE,HDFCBANK,383.8024189147077,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-06,BAJFINANCE,HDFCBANK,389.01681559464237,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-07,BAJFINANCE,HDFCBANK,387.73540151884447,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-08,BAJFINANCE,HDFCBANK,388.86248764822716,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-11,BAJFINANCE,HDFCBANK,389.2808227195494,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-12,BAJFINANCE,HDFCBANK,386.6031770280389,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-14,BAJFINANCE,HDFCBANK,383.4927112185459,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-15,BAJFINANCE,HDFCBANK,380.39112406067585,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-18,BAJFINANCE,HDFCBANK,378.4993259177612,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-19,BAJFINANCE,HDFCBANK,378.0980194748264,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-20,BAJFINANCE,HDFCBANK,383.1278094070954,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-21,BAJFINANCE,HDFCBANK,385.97582936226263,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-22,BAJFINANCE,HDFCBANK,382.1321528514919,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-25,BAJFINANCE,HDFCBANK,387.3749872358079,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-26,BAJFINANCE,HDFCBANK,385.3809054543777,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-27,BAJFINANCE,HDFCBANK,382.30048816123264,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-02-28,BAJFINANCE,HDFCBANK,380.5766225239639,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-03-01,BAJFINANCE,HDFCBANK,381.8029961118717,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-03-05,BAJFINANCE,HDFCBANK,386.3086171276009,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-03-06,BAJFINANCE,HDFCBANK,388.6164093685501,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-03-07,BAJFINANCE,HDFCBANK,390.4237372663167,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-03-08,BAJFINANCE,HDFCBANK,391.91445452205863,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-03-11,BAJFINANCE,HDFCBANK,392.80453498156703,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-03-12,BAJFINANCE,HDFCBANK,397.12672944114354,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-03-13,BAJFINANCE,HDFCBANK,407.4634887484938,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-03-14,BAJFINANCE,HDFCBANK,406.4654818632667,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
2019-03-15,BAJFINANCE,HDFCBANK,412.266328983498,,-2.9041,-0.0111,0.0013,0.8952,0.1048,FLAT,0,0
