,fii_buy,fii_sell,fii_net,status
2019-01-01,956.57,1957.92,-1001.35,ok
2019-01-02,956.57,1957.92,-1001.35,ok
2019-01-03,956.57,1957.92,-1001.35,ok
2019-01-04,956.57,1957.92,-1001.35,ok
2019-01-07,956.57,1957.92,-1001.35,ok
2019-01-08,956.57,1957.92,-1001.35,ok
2019-01-09,956.57,1957.92,-1001.35,ok
2019-01-10,956.57,1957.92,-1001.35,ok
2019-01-11,956.57,1957.92,-1001.35,ok
2019-01-14,956.57,1957.92,-1001.35,ok
2019-01-15,956.57,1957.92,-1001.35,ok
2019-01-16,956.57,1957.92,-1001.35,ok
2019-01-17,956.57,1957.92,-1001.35,ok
2019-01-18,956.57,1957.92,-1001.35,ok
2019-01-21,956.57,1957.92,-1001.35,ok
2019-01-22,956.57,1957.92,-1001.35,ok
2019-01-23,956.57,1957.92,-1001.35,ok
2019-01-24,956.57,1957.92,-1001.35,ok
2019-01-25,956.57,1957.92,-1001.35,ok
2019-01-28,956.57,1957.92,-1001.35,ok
2019-01-29,956.57,1957.92,-1001.35,ok
2019-01-30,956.57,1957.92,-1001.35,ok
2019-01-31,956.57,1957.92,-1001.35,ok
2019-02-01,10906.27,8015.23,2891.04,ok
2019-02-04,10906.27,8015.23,2891.04,ok
2019-02-05,10906.27,8015.23,2891.04,ok
2019-02-06,10906.27,8015.23,2891.04,ok
2019-02-07,10906.27,8015.23,2891.04,ok
2019-02-08,10906.27,8015.23,2891.04,ok
2019-02-11,10906.27,8015.23,2891.04,ok
2019-02-12,10906.27,8015.23,2891.04,ok
2019-02-13,10906.27,8015.23,2891.04,ok
2019-02-14,10906.27,8015.23,2891.04,ok
2019-02-15,10906.27,8015.23,2891.04,ok
2019-02-18,10906.27,8015.23,2891.04,ok
2019-02-19,10906.27,8015.23,2891.04,ok
2019-02-20,10906.27,8015.23,2891.04,ok
2019-02-21,10906.27,8015.23,2891.04,ok
2019-02-22,10906.27,8015.23,2891.04,ok
2019-02-25,10906.27,8015.23,2891.04,ok
2019-02-26,10906.27,8015.23,2891.04,ok
2019-02-27,10906.27,8015.23,2891.04,ok
2019-02-28,10906.27,8015.23,2891.04,ok
2019-03-01,12931.83,9756.48,3175.35,ok
2019-03-04,12931.83,9756.48,3175.35,ok
2019-03-05,12931.83,9756.48,3175.35,ok
2019-03-06,12931.83,9756.48,3175.35,ok
2019-03-07,12931.83,9756.48,3175.35,ok
2019-03-08,12931.83,9756.48,3175.35,ok
2019-03-11,12931.83,9756.48,3175.35,ok
2019-03-12,12931.83,9756.48,3175.35,ok
2019-03-13,12931.83,9756.48,3175.35,ok
2019-03-14,12931.83,9756.48,3175.35,ok
2019-03-15,12931.83,9756.48,3175.35,ok
2019-03-18,12931.83,9756.48,3175.35,ok
2019-03-19,12931.83,9756.48,3175.35,ok
2019-03-20,12931.83,9756.48,3175.35,ok
2019-03-21,12931.83,9756.48,3175.35,ok
2019-03-22,12931.83,9756.48,3175.35,ok
2019-03-25,12931.83,9756.48,3175.35,ok
2019-03-26,12931.83,9756.48,3175.35,ok
2019-03-27,12931.83,9756.48,3175.35,ok
2019-03-28,12931.83,9756.48,3175.35,ok
2019-03-29,12931.83,9756.48,3175.35,ok
2019-04-01,350003.95,299655.46,50348.49,ok
2019-04-02,14230.36,11102.62,3127.74,ok
2019-04-03,14230.36,11102.62,3127.74,ok
2019-04-04,14230.36,11102.62,3127.74,ok
2019-04-05,14230.36,11102.62,3127.74,ok
2019-04-08,14230.36,11102.62,3127.74,ok
2019-04-09,14230.36,11102.62,3127.74,ok
2019-04-10,14230.36,11102.62,3127.74,ok
2019-04-11,14230.36,11102.62,3127.74,ok
2019-04-12,14230.36,11102.62,3127.74,ok
2019-04-15,14230.36,11102.62,3127.74,ok
2019-04-16,14230.36,11102.62,3127.74,ok
2019-04-17,14230.36,11102.62,3127.74,ok
2019-04-18,14230.36,11102.62,3127.74,ok
2019-04-19,14230.36,11102.62,3127.74,ok
2019-04-22,14230.36,11102.62,3127.74,ok
2019-04-23,14230.36,11102.62,3127.74,ok
2019-04-24,14230.36,11102.62,3127.74,ok
2019-04-25,14230.36,11102.62,3127.74,ok
2019-04-26,14230.36,11102.62,3127.74,ok
2019-04-29,14230.36,11102.62,3127.74,ok
2019-04-30,14230.36,11102.62,3127.74,ok
2019-05-01,,,,holiday
2019-05-02,8429.48,8465.38,-35.9,ok
2019-05-03,8429.48,8465.38,-35.9,ok
2019-05-06,8429.48,8465.38,-35.9,ok
2019-05-07,8429.48,8465.38,-35.9,ok
2019-05-08,8429.48,8465.38,-35.9,ok
2019-05-09,8429.48,8465.38,-35.9,ok
2019-05-10,8429.48,8465.38,-35.9,ok
2019-05-13,8429.48,8465.38,-35.9,ok
2019-05-14,8429.48,8465.38,-35.9,ok
2019-05-15,8429.48,8465.38,-35.9,ok
2019-05-16,8429.48,8465.38,-35.9,ok
2019-05-17,8429.48,8465.38,-35.9,ok
2019-05-20,8429.48,8465.38,-35.9,ok
2019-05-21,8429.48,8465.38,-35.9,ok
2019-05-22,8429.48,8465.38,-35.9,ok
2019-05-23,8429.48,8465.38,-35.9,ok
2019-05-24,8429.48,8465.38,-35.9,ok
2019-05-27,8429.48,8465.38,-35.9,ok
2019-05-28,8429.48,8465.38,-35.9,ok
2019-05-29,8429.48,8465.38,-35.9,ok
2019-05-30,8429.48,8465.38,-35.9,ok
2019-05-31,8429.48,8465.38,-35.9,ok
2019-06-03,9512.23,8543.1,969.13,ok
2019-06-04,9512.23,8543.1,969.13,ok
2019-06-05,9512.23,8543.1,969.13,ok
2019-06-06,9512.23,8543.1,969.13,ok
2019-06-07,9512.23,8543.1,969.13,ok
2019-06-10,9512.23,8543.1,969.13,ok
2019-06-11,9512.23,8543.1,969.13,ok
2019-06-12,9512.23,8543.1,969.13,ok
2019-06-13,9512.23,8543.1,969.13,ok
2019-06-14,9512.23,8543.1,969.13,ok
2019-06-17,9512.23,8543.1,969.13,ok
