ticker,alpha_daily,alpha_annual,alpha_tstat,full_kelly,effective_f,pos_pct,action,regime,note,sentiment_mult,sentiment_label,sentiment_score,gated_pos_pct
RELIANCE,4.4e-05,1.12,0.142,0.3096,0.0774,0.0,SKIP,Sideways,t=0.14 < 1.5 (insufficient edge),0.701,neutral,0.40196666666666664,0.0
HDFCBANK,-4.6e-05,-1.15,-0.208,-0.6415,0.1604,0.0,SKIP,Sideways,t=-0.21 < 1.5 (insufficient edge),0.6513,neutral,0.3025333333333334,0.0
ICICIBANK,0.000211,5.31,0.759,1.8604,0.4651,0.0,SKIP,Sideways,t=0.76 < 1.5 (insufficient edge),0.9536,neutral,0.9072666666666667,0.0
INFY,0.000336,8.46,0.987,1.9776,0.4944,0.0,SKIP,Sideways,t=0.99 < 1.5 (insufficient edge),0.0243,neutral,-0.9514333333333332,0.0
TCS,8.1e-05,2.04,0.265,0.5883,0.1471,0.0,SKIP,Sideways,t=0.26 < 1.5 (insufficient edge),0.6158,neutral,0.23153333333333334,0.0
AXISBANK,-0.000194,-4.88,-0.519,-0.9458,0.2365,0.0,SKIP,Sideways,t=-0.52 < 1.5 (insufficient edge),0.5262,neutral,0.05249999999999999,0.0
BAJFINANCE,-0.000131,-3.3,-0.351,-0.6398,0.1599,0.0,SKIP,Sideways,t=-0.35 < 1.5 (insufficient edge),0.946,neutral,0.8920666666666667,0.0
DRREDDY,0.0004,10.09,1.228,2.5631,0.6408,0.0,SKIP,Sideways,t=1.23 < 1.5 (insufficient edge),0.5882,neutral,0.1764,0.0
HINDUNILVR,-8.2e-05,-2.08,-0.287,-0.6814,0.1703,0.0,SKIP,Sideways,t=-0.29 < 1.5 (insufficient edge),0.9349,neutral,0.8698,0.0
ITC,6e-05,1.52,0.225,0.5728,0.1432,0.0,SKIP,Sideways,t=0.23 < 1.5 (insufficient edge),0.6768,neutral,0.35369999999999996,0.0
MARUTI,-0.000349,-8.79,-1.13,-2.4917,0.6229,0.0,SKIP,Sideways,t=-1.13 < 1.5 (insufficient edge),0.9522,neutral,0.9044,0.0
ONGC,-6.2e-05,-1.56,-0.211,-0.4889,0.1222,0.0,SKIP,Sideways,t=-0.21 < 1.5 (insufficient edge),0.6013,neutral,0.20256666666666664,0.0
SUNPHARMA,0.000498,12.54,1.654,3.7434,0.9358,5.0,LONG,Sideways,t=1.65 | α=0.00050/day,0.6508,neutral,0.30150000000000005,3.254
WIPRO,5.8e-05,1.47,0.155,0.2813,0.0703,0.0,SKIP,Sideways,t=0.16 < 1.5 (insufficient edge),0.5176,neutral,0.035133333333333315,0.0
