ticker,feature,mean_abs_shap,shap_today
RELIANCE,resid_lag1,0.0,0.0
RELIANCE,resid_lag2,0.000433,0.000327
RELIANCE,resid_lag3,0.001059,-0.000988
RELIANCE,resid_lag5,0.004115,0.001833
RELIANCE,resid_lag10,0.0,0.0
RELIANCE,resid_vol5d,0.004107,0.004044
RELIANCE,resid_vol20d,0.0,0.0
RELIANCE,resid_sq_lag1,0.001302,0.001291
RELIANCE,resid_zscore_20d,0.0,0.0
RELIANCE,resid_rank_20d,0.0,0.0
RELIANCE,resid_cum5d,0.005908,0.005073
RELIANCE,resid_cum10d,0.0,0.0
RELIANCE,factor_MKT,0.0,0.0
RELIANCE,factor_SMB,0.001127,-0.000308
RELIANCE,factor_HML,0.0,0.0
RELIANCE,factor_RMW,0.0,0.0
RELIANCE,factor_CMA,0.004978,-0.008117
RELIANCE,regime,0.003381,0.0033
RELIANCE,is_black_swan,0.001359,0.001001
RELIANCE,days_since_black_swan,0.0,0.0
HDFCBANK,resid_lag1,0.0,0.0
HDFCBANK,resid_lag2,0.00119,-0.000456
HDFCBANK,resid_lag3,0.000561,0.000193
HDFCBANK,resid_lag5,0.0,0.0
HDFCBANK,resid_lag10,0.001931,0.000698
HDFCBANK,resid_vol5d,0.0,0.0
HDFCBANK,resid_vol20d,0.0,0.0
HDFCBANK,resid_sq_lag1,0.002908,0.004843
HDFCBANK,resid_zscore_20d,0.0,0.0
HDFCBANK,resid_rank_20d,0.0,0.0
HDFCBANK,resid_cum5d,0.00054,0.000369
HDFCBANK,resid_cum10d,0.0,0.0
HDFCBANK,factor_MKT,0.004723,-0.002995
HDFCBANK,factor_SMB,0.001983,-0.000758
HDFCBANK,factor_HML,0.0,0.0
HDFCBANK,factor_RMW,0.0,0.0
HDFCBANK,factor_CMA,0.0,0.0
HDFCBANK,regime,0.0,0.0
HDFCBANK,is_black_swan,0.0,0.0
HDFCBANK,days_since_black_swan,0.0,0.0
ICICIBANK,resid_lag1,0.0,0.0
ICICIBANK,resid_lag2,0.001704,0.000695
ICICIBANK,resid_lag3,0.002632,-0.004777
ICICIBANK,resid_lag5,0.0,0.0
ICICIBANK,resid_lag10,0.0,0.0
ICICIBANK,resid_vol5d,0.0,0.0
ICICIBANK,resid_vol20d,0.0,0.0
ICICIBANK,resid_sq_lag1,0.007532,-0.007958
ICICIBANK,resid_zscore_20d,0.000127,-6e-05
ICICIBANK,resid_rank_20d,0.0,0.0
ICICIBANK,resid_cum5d,0.002951,0.001502
ICICIBANK,resid_cum10d,0.0,0.0
ICICIBANK,factor_MKT,6e-05,1.4e-05
ICICIBANK,factor_SMB,0.0,0.0
ICICIBANK,factor_HML,0.0,0.0
ICICIBANK,factor_RMW,0.0,0.0
ICICIBANK,factor_CMA,0.00075,0.001481
ICICIBANK,regime,0.000857,0.000232
ICICIBANK,is_black_swan,0.0,0.0
ICICIBANK,days_since_black_swan,0.000981,-0.001477
INFY,resid_lag1,0.0,0.0
INFY,resid_lag2,0.003302,0.001344
INFY,resid_lag3,0.00052,-0.000188
INFY,resid_lag5,0.0,0.0
INFY,resid_lag10,0.001612,-0.001452
INFY,resid_vol5d,0.0,0.0
INFY,resid_vol20d,0.0,0.0
INFY,resid_sq_lag1,0.001231,0.000543
INFY,resid_zscore_20d,0.0,0.0
INFY,resid_rank_20d,0.0,0.0
INFY,resid_cum5d,0.000789,-0.000112
INFY,resid_cum10d,0.0,0.0
INFY,factor_MKT,0.00258,0.001746
INFY,factor_SMB,0.002774,-0.002058
INFY,factor_HML,0.0,0.0
INFY,factor_RMW,0.0,0.0
INFY,factor_CMA,0.0,0.0
INFY,regime,0.0,0.0
INFY,is_black_swan,0.0,0.0
INFY,days_since_black_swan,0.000791,-0.000288
TCS,resid_lag1,0.008482,0.010421
TCS,resid_lag2,0.011731,0.007251
TCS,resid_lag3,0.017348,0.01465
TCS,resid_lag5,0.006827,0.000992
TCS,resid_lag10,0.014951,-0.012775
TCS,resid_vol5d,0.013049,0.006032
TCS,resid_vol20d,0.007151,0.00474
TCS,resid_sq_lag1,0.010461,-7.6e-05
TCS,resid_zscore_20d,0.003174,0.003617
TCS,resid_rank_20d,0.004293,0.005106
TCS,resid_cum5d,0.035151,-0.016673
TCS,resid_cum10d,0.0075,0.000401
TCS,factor_MKT,0.032478,-0.010128
TCS,factor_SMB,0.027093,0.090824
TCS,factor_HML,0.006971,0.005593
TCS,factor_RMW,0.006341,0.002318
TCS,factor_CMA,0.014602,-0.0458
TCS,regime,0.004384,-0.001052
TCS,is_black_swan,0.00079,5.3e-05
TCS,days_since_black_swan,0.002655,-0.000732
AXISBANK,resid_lag1,0.0,0.0
AXISBANK,resid_lag2,0.00289,0.00182
AXISBANK,resid_lag3,0.000881,0.000464
AXISBANK,resid_lag5,0.0,0.0
AXISBANK,resid_lag10,0.001352,-0.000656
AXISBANK,resid_vol5d,0.002843,0.000709
