Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
07-JUN-2019,15.525,15.73,13.6275,14.8575,15.525,-0.67,-4.30
10-JUN-2019,14.8575,15.4525,13.4475,14.975,14.8575,0.12,0.79
11-JUN-2019,14.975,14.975,13.48,14.49,14.975,-0.49,-3.24
12-JUN-2019,14.49,14.71,13.31,14.1225,14.49,-0.37,-2.54
13-JUN-2019,14.1225,14.2925,13.2775,13.66,14.1225,-0.46,-3.27
14-JUN-2019,13.66,14.1175,12.6425,13.895,13.66,0.24,1.72
17-JUN-2019,13.895,14.96,13.52,14.65,13.895,0.76,5.43
18-JUN-2019,14.65,14.97,11.7375,14.6,14.65,-0.05,-0.34
19-JUN-2019,14.6,15.3,10.79,14.73,14.6,0.13,0.89
20-JUN-2019,14.73,15.1875,12.835,14,14.73,-0.73,-4.96
21-JUN-2019,14,14.8325,10.6025,14.61,14,0.61,4.36
24-JUN-2019,14.61,15.665,11.855,15.2225,14.61,0.61,4.19
25-JUN-2019,15.2225,15.585,14.9275,15.01,15.2225,-0.21,-1.40
26-JUN-2019,15.01,15.195,14.39,14.75,15.01,-0.26,-1.73
27-JUN-2019,14.75,14.8875,13.6475,14.645,14.75,-0.11,-0.71
28-JUN-2019,14.645,15.0725,13.995,14.9525,14.645,0.31,2.10
01-JUL-2019,14.9525,15.02,14.4725,14.6025,14.9525,-0.35,-2.34
02-JUL-2019,14.6025,14.8325,14.025,14.25,14.6025,-0.35,-2.41
03-JUL-2019,14.25,14.32,13.52,13.695,14.25,-0.56,-3.89
04-JUL-2019,13.695,13.695,13.0125,13.53,13.695,-0.17,-1.20
05-JUL-2019,13.53,13.965,12.665,13.065,13.53,-0.47,-3.44
08-JUL-2019,13.065,14.0425,12.1075,13.8525,13.065,0.79,6.03
09-JUL-2019,13.8525,14.22,13.3525,13.6875,13.8525,-0.17,-1.19
10-JUL-2019,13.6875,13.9625,12.395,13.635,13.6875,-0.05,-0.38
11-JUL-2019,13.635,13.635,12.1775,12.47,13.635,-1.17,-8.54
12-JUL-2019,12.47,12.55,11.55,11.9975,12.47,-0.47,-3.79
15-JUL-2019,11.9975,12.5175,10.6425,12.02,11.9975,0.02,0.19
16-JUL-2019,12.02,12.02,11.0625,11.56,12.02,-0.46,-3.83
17-JUL-2019,11.56,11.91,9.1625,11.8,11.56,0.24,2.08
18-JUL-2019,11.8,11.9825,9.2225,11.75,11.8,-0.05,-0.42
19-JUL-2019,11.75,12.675,10.5925,12.515,11.75,0.77,6.51
22-JUL-2019,12.515,13.4025,11.5625,13.01,12.515,0.50,3.96
23-JUL-2019,13.01,13.78,11.59,13.4275,13.01,0.42,3.21
24-JUL-2019,13.4275,14.4825,11.85,12.76,13.4275,-0.67,-4.97
25-JUL-2019,12.76,13.55,11.9975,12.635,12.76,-0.13,-0.98
26-JUL-2019,12.635,13.31,11.9225,12.1325,12.635,-0.50,-3.98
29-JUL-2019,12.1325,13.5325,12.0375,13.0625,12.1325,0.93,7.67
30-JUL-2019,13.0625,13.8675,12.5,13.6125,13.0625,0.55,4.21
31-JUL-2019,13.6125,14.545,13.415,13.59,13.6125,-0.02,-0.17
01-AUG-2019,13.59,15.28,13.2725,14.5575,13.59,0.97,7.12
02-AUG-2019,14.5575,16.1575,14.435,15.1875,14.5575,0.63,4.33
05-AUG-2019,15.1875,17.82,15.1875,16.585,15.1875,1.40,9.20
06-AUG-2019,16.585,16.785,15.5925,16.12,16.585,-0.47,-2.80
07-AUG-2019,16.12,16.9125,15.7375,16.74,16.12,0.62,3.85
08-AUG-2019,16.74,16.74,15.515,16.0925,16.74,-0.65,-3.87
09-AUG-2019,16.0925,16.1625,15.0275,15.845,16.0925,-0.25,-1.54
13-AUG-2019,15.845,18.005,15.1175,17.7775,15.845,1.93,12.20
14-AUG-2019,17.7775,17.7775,16.11,16.3575,17.7775,-1.42,-7.99
16-AUG-2019,16.3575,17.4275,15.9925,16.6475,16.3575,0.29,1.77
19-AUG-2019,16.6475,17.025,14.71,16.7475,16.6475,0.10,0.60
20-AUG-2019,16.7475,17.095,15.105,16.6325,16.7475,-0.12,-0.69
21-AUG-2019,16.6325,17.3275,14,17.0225,16.6325,0.39,2.34
22-AUG-2019,17.0225,18.1225,14.4925,17.8525,17.0225,0.83,4.88
23-AUG-2019,17.8525,18.2625,13.7025,17.3475,17.8525,-0.51,-2.83
26-AUG-2019,17.3475,19.145,13.7,16.655,17.3475,-0.69,-3.99
27-AUG-2019,16.655,16.8325,14.42,16.01,16.655,-0.65,-3.87
28-AUG-2019,16.01,17.375,14.12,16.835,16.01,0.83,5.15
29-AUG-2019,16.835,17.445,13.8725,16.425,16.835,-0.41,-2.44
30-AUG-2019,16.425,17.375,15.19,16.2825,16.425,-0.14,-0.87
