target,variable,coefficient,std_err,z_stat,p_value,odds_ratio,sig,pseudo_r2,auc
5-day onset,const,-2.3905,0.0935,-25.566,0.0,0.0916,***,0.0038,0.5463
5-day onset,fii_lag1,-0.0876,0.1839,-0.477,0.6337,0.9161,,0.0038,0.5463
5-day onset,fii_lag2,0.0139,0.2225,0.063,0.95,1.014,,0.0038,0.5463
5-day onset,fii_lag3,0.0566,0.2177,0.26,0.795,1.0582,,0.0038,0.5463
5-day onset,fii_lag4,-0.0099,0.2166,-0.046,0.9635,0.9901,,0.0038,0.5463
5-day onset,fii_lag5,-0.1066,0.1787,-0.596,0.551,0.8989,,0.0038,0.5463
1-day onset,const,-2.5833,0.1014,-25.465,0.0,0.0755,***,0.0036,0.5493
1-day onset,fii_lag1,-0.1373,0.2014,-0.682,0.4955,0.8717,,0.0036,0.5493
1-day onset,fii_lag2,0.011,0.2454,0.045,0.9641,1.0111,,0.0036,0.5493
1-day onset,fii_lag3,0.0742,0.2375,0.312,0.7548,1.077,,0.0036,0.5493
1-day onset,fii_lag4,0.0207,0.2346,0.088,0.9296,1.0209,,0.0036,0.5493
1-day onset,fii_lag5,-0.0973,0.1929,-0.504,0.6141,0.9073,,0.0036,0.5493
