regime,n_days,mean_ann,vol_ann,sharpe,t_stat,p_value,sig,factor
Bull,638,12.53,16.79,0.747,1.19,0.2349,,MKT
Bull,638,1.79,12.57,0.142,0.23,0.8207,,SMB
Bull,638,2.69,12.49,0.215,0.34,0.7321,,HML
Bull,638,-5.11,12.25,-0.417,-0.66,0.5068,,RMW
Bull,638,6.33,14.41,0.439,0.7,0.4847,,CMA
Sideways,968,-4.24,11.1,-0.382,-0.75,0.4538,,MKT
Sideways,968,-1.36,10.08,-0.135,-0.26,0.7914,,SMB
Sideways,968,5.49,10.0,0.549,1.08,0.2821,,HML
Sideways,968,-3.19,10.03,-0.318,-0.62,0.5334,,RMW
Sideways,968,4.29,11.38,0.377,0.74,0.4603,,CMA
Bear,123,20.71,46.02,0.45,0.31,0.7531,,MKT
Bear,123,32.46,25.46,1.275,0.89,0.373,,SMB
Bear,123,-10.2,22.97,-0.444,-0.31,0.7564,,HML
Bear,123,7.95,24.9,0.319,0.22,0.8235,,RMW
Bear,123,-21.14,28.45,-0.743,-0.52,0.6037,,CMA
