regime,factor,f_stat_full,p_value_full,fdr_reject_full,testable_excovid,f_stat_excovid,p_value_excovid,n_obs_excovid,sig_excovid,sig_raw_excovid,p_fdr_excovid,fdr_reject_excovid
Bull,MKT,0.969,0.3799,False,True,1.185,0.3065,615,,False,0.613,False
Bull,SMB,2.121,0.1208,False,True,1.737,0.177,615,,False,0.59,False
Bull,HML,1.349,0.2503,False,True,1.272,0.2796,615,,False,0.613,False
Bull,RMW,0.308,0.7354,False,True,0.503,0.6051,615,,False,0.73,False
Bull,CMA,1.597,0.2034,False,True,1.974,0.0807,615,,False,0.436,False
Sideways,MKT,1.371,0.2543,False,True,2.446,0.0872,907,,False,0.436,False
Sideways,SMB,1.542,0.202,False,True,0.954,0.4319,907,,False,0.7020000000000001,False
Sideways,HML,0.222,0.9531,False,True,0.013,0.9078,907,,False,0.9078,False
Sideways,RMW,0.812,0.4445,False,True,0.711,0.4914,907,,False,0.7020000000000001,False
Sideways,CMA,0.625,0.4293,False,True,0.537,0.657,907,,False,0.73,False
Bear,MKT,2.306,0.1316,False,False,,,48,—,False,,False
Bear,SMB,5.68,0.0188,False,False,,,48,—,False,,False
Bear,HML,0.613,0.6543,False,False,,,48,—,False,,False
Bear,RMW,1.386,0.2354,False,False,,,48,—,False,,False
Bear,CMA,2.85,0.0272,False,False,,,48,—,False,,False
